Brand,Description,Type,Size
JAGERMEISTER,LIQUEUR,LIQUEUR,1.75
JAGERMEISTER,LIQUEUR MINI,LIQUEUR,0.5
KAFKA,COFFEE,LIQUEUR,0.75
KAHLUA,COFFEE,LIQUEUR,0.375
KAHLUA,COFFEE AND G/S,LIQUEUR,0.75
KAHLUA,COFFEE PUMPKIN,LIQUEUR,0.75
KAHLUA,RTD BTL MUDSLID,LIQUEUR,4 PK
KAHLUA,RTD BTL WHITE R,LIQUEUR,4 PK
KAHLUA,RTD MUD SLIDE,LIQUEUR,1.75
KAHLUA,RTD WHITE RUSSI,LIQUEUR,1.75
KAMORA,COFFEE,LIQUEUR,1 LIT
KILLEPITSCH,LIKE JAGER,LIQUEUR,0.75
KINKY,LIQUEUR BLUE,LIQUEUR,0.5
KINKY,LIQUEUR BLUE,LIQUEUR,0.75
KINKY,LIQUEUR GOLD,LIQUEUR,0.5
KINKY,LIQUEUR GOLD,LIQUEUR,0.75
KINKY,LIQUEUR PINK,LIQUEUR,0.5
KINKY,LIQUEUR PINK,LIQUEUR,0.75
LICOR 43,SPANISH LIQUEUR,LIQUEUR,0.5
MCCORMICK'S,IRISH CREAM,LIQUEUR,0.75
METAXA OUZO,GREEK LIQUEUR(S,LIQUEUR,0.75
MIDORI,MELON,LIQUEUR,0.375
MIDORI,MELON,LIQUEUR,0.75
MOLINARI,SAMBUCA WHITE,LIQUEUR,0.75
MULE,MOSCOWMULE,LIQUEUR,4 PK
NUVO,CLASSIC,LIQUEUR,0.75
PAMA,POMEGRANATE LIQ,LIQUEUR,0.375
PATRON,FLVR CITRONGE,LIQUEUR,0.75
PATRON,FLVR CITRONGE L,LIQUEUR,0.75
PATRON,FLVR CITRONGE M,LIQUEUR,0.75
PATRON,MINI XO CAFE DA,LIQUEUR,0.5
PATRON,MINI XO COFFEE,LIQUEUR,0.5
PATRON,XO COFFEE,LIQUEUR,0.375
PATRON,XO COFFEE,LIQUEUR,0.75
PAULAS,TEXAS ORANGE,LIQUEUR,0.5
PAULAS,TEXAS ORANGE,LIQUEUR,0.75
PENNSYLVANIA DUTCH,EGG NOG,LIQUEUR,1.75
ROMANA,SAMBUCA WHITE,LIQUEUR,0.75
ROMANA,SAMBUKA BLACK,LIQUEUR,0.75
RUM CHATA,HORCHATA LIQUEU,LIQUEUR,0.5
RUM CHATA,HORCHATA LIQUEU,LIQUEUR,0.75
RUM CHATA,HORCHATA LIQUEU,LIQUEUR,1.75
RUMPLE MINZE,PEPPERMINT,LIQUEUR,0.375
RUMPLE MINZE,PEPPERMINT,LIQUEUR,0.75
RUMPLE MINZE,PEPPERMINT RASP,LIQUEUR,0.75
SAINT BRENDAN'S,FLVR SALTED CAR,LIQUEUR,0.75
SAINT BRENDAN'S,IRISH CREAM & G,LIQUEUR,0.5
SMOKE,LIQUEUR,LIQUEUR,0.75
ST GERMAIN,LIQUEUR ELDERFL,LIQUEUR,0.5
ST GERMAIN,LIQUEUR ELDERFL,LIQUEUR,0.75
ST. ELDER,ELDERFLOWER LIQ,LIQUEUR,0.75
SWEET REVENGE,STRBERRY SOUR M,LIQUEUR,0.5
SWEET REVENGE,STRBERRY SOUR M,LIQUEUR,0.75
TEQUILLA ROSE,STRAWBERRY,LIQUEUR,0.375
TIA MARIA,LIQUOR,LIQUEUR,0.75
TIJUANA,TEQUILA/AGAVE,LIQUEUR,0.5
TIJUANA,TEQUILA/AGAVE,LIQUEUR,0.75
TIPPY COW,LIQUEUR  CH/VAN,LIQUEUR,0.5
TRES LECHES,TRIPLE CREAM LI,LIQUEUR,0.5
TUACA,LIQUEUR,LIQUEUR,0.2
TUACA,LIQUEUR,LIQUEUR,0.375
TUACA,LIQUEUR,LIQUEUR,0.75
TWENTY GRAND,FLVR APPLE,LIQUEUR,0.375
TWENTY GRAND,FLVR PEACH,LIQUEUR,0.375
TWENTY GRAND,VODKA WITH COGN,LIQUEUR,0.75
VINIQ,LIQUEUR PEACH,LIQUEUR,0.75
VINIQ,LIQUEUR RUBY,LIQUEUR,0.75
X - RATED,FUSION LIQUOR,LIQUEUR,0.75
ZWACK,PEAR LIQUEUR,LIQUEUR,0.75
BAILEYS,FLVR CHERRY CHO,LIQUEUR CREAM,0.5
BAILEYS,IRISH CREAM,LIQUEUR CREAM,0.75
BAILEYS,IRISH CREAM,LIQUEUR CREAM,1 LIT
BAILEYS,IRISH CREAM G/S,LIQUEUR CREAM,0.75
BAILEYS,MINI 100ML 4PK,LIQUEUR CREAM,4 PK
HACIENDA DE CHIHUAHUA,SOTOL REPOSADO,LIQUOR-MISC,0.75
BRAZOS GIN,GIN TEXAS,GIN-AMERICAN,0.75
DRIPPING SPRINGS,GIN,GIN-AMERICAN,0.75
GORDON,GIN,GIN-AMERICAN,0.75
GREEN HOUSE,GIN,GIN-AMERICAN,0.75
NEW AMSTERDAM,GIN,GIN-AMERICAN,0.375
NEW AMSTERDAM,GIN,GIN-AMERICAN,0.75
NEW AMSTERDAM,GIN,GIN-AMERICAN,1 LTR
NEW AMSTERDAM,GIN,GIN-AMERICAN,1.75
POCKET SHOT,LONDON DRY GIN,GIN-AMERICAN,0.5
POLO CLUB,GIN LONDON DRY,GIN-AMERICAN,0.75
SEAGRAM'S,GIN,GIN-AMERICAN,0.2
SEAGRAM'S,GIN,GIN-AMERICAN,0.375
SEAGRAM'S,GIN,GIN-AMERICAN,1 LIT
SEAGRAM'S,GIN,GIN-AMERICAN,1.75
SEAGRAM'S,LIME,GIN-AMERICAN,0.375
SEAGRAM'S,LIME,GIN-AMERICAN,0.75
WATERLOO,GIN FRM AUSTIN,GIN-AMERICAN,0.75
BEEFEATER,GIN,GIN-IMPORTED,0.75
BEEFEATER,GIN,GIN-IMPORTED,1.75
BELL RINGER,GIN LONDON DRY,GIN-IMPORTED,1.75
BOMBAY,SAPPHIRE,GIN-IMPORTED,0.375
BOMBAY,SAPPHIRE,GIN-IMPORTED,0.75
BOODLES,GIN,GIN-IMPORTED,0.75
EDINBURGH,GIN LONDON DRY,GIN-IMPORTED,0.75
HENDRICKS,GIN SCOTLAND,GIN-IMPORTED,0.375
HENDRICKS,GIN SCOTLAND,GIN-IMPORTED,0.75
MARTIN MILLER,GIN LONDON DRY,GIN-IMPORTED,0.75
NOLET'S,GIN LONDON DRY,GIN-IMPORTED,0.75
PLYMOUTH,GIN LONDON DRY,GIN-IMPORTED,0.75
SEAGGINGLASS  SEAGRAM'S,GIN GLASS,GIN-IMPORTED,0.75
TANQUERAY,GIN,GIN-IMPORTED,0.2
TANQUERAY,GIN,GIN-IMPORTED,0.375
TANQUERAY,GIN,GIN-IMPORTED,0.75
TANQUERAY,GIN,GIN-IMPORTED,1 LIT
TANQUERAY,GIN,GIN-IMPORTED,1.75
TANQUERAY,TEN,GIN-IMPORTED,0.75
